"product_name","total_sales","total_profit","profit_prcnt"
"Wilson Electronics DB Pro Signal Booster",8878,514,5.78959225050687091700
"Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat",8775,1304,14.86039886039886039900
"Global Deluxe High-Back Manager's Chair",8667,1557,17.96469366562824506700
"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs",8431,1389,16.47491400782825287600
"Hot File 7-Pocket Floor Stand",8137,2019,24.81258449059850067600
"Fellowes PB300 Plastic Comb Binding Machine",8070,2517,31.18959107806691449800
"Ibico Ibimaster 300 Manual Binding System",7986,2318,29.02579514149762083600
"Global Commerce Series High-Back Swivel/Tilt Chairs",7979,927,11.61799724276225090900
"Okidata MB760 Printer",7835,882,11.25717932354818123800
"Adjustable Depth Letter/Legal Cart",7731,1932,24.99029879705083430300
"Mitel MiVoice 5330e IP Phone",7700,779,10.11688311688311688300
"Ativa V4110MDD Micro-Cut Shredder",7700,3773,49.00000000000000000000
"Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms",7583,833,10.98509824607675062600
"Atlantic Metals Mobile 3-Shelf Bookcases Custom Colors",7539,780,10.34619976124154397100
"Tennsco 16-Compartment Lockers with Coat Rack",7517,1115,14.83304509777836903000
"Logitech diNovo Edge Keyboard",7400,1431,19.33783783783783783800
"Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)",7140,84,1.17647058823529411800
"Zebra ZM400 Thermal Label Printer",6966,3344,48.00459374102784955500
"Hon GuestStacker Chair",6936,1235,17.80565167243367935400
"Hoover Upright Vacuum With Dirt Cup",6833,461,6.74667056929606322300
"Tennsco Snap-Together Open Shelving Units Starter Sets and Add-On Units",6820,182,2.66862170087976539600
"GBC DocuBind 300 Electric Binding Machine",6786,494,7.27969348659003831400
"Bretford CR8500 Series Meeting Room Furniture",6776,460,6.78866587957497048400
"Cisco Unified IP Phone 7945G VoIP phone",6751,101,1.49607465560657680300
"Hon Every-Day Series Multi-Task Chairs",6749,282,4.17839679952585568200
"ClearOne CHATAttach 160 - speaker phone",6696,1054,15.74074074074074074100
"Standard Rollaway File with Lock",6594,1262,19.13861085835608128600
"Hon Multipurpose Stacking Arm Chairs",6584,814,12.36330498177399757000
"Dual Level Single-Width Filing Carts",6573,1641,24.96576905522592423600
"Hon Pagoda Stacking Chairs",6484,1540,23.75077112893275755700
"Global Leather and Oak Executive Chair Black",6411,854,13.32085478084542193100
"Sharp AL-1530CS Digital Copier",6400,2065,32.26562500000000000000
"Polycom VVX 310 VoIP phone",6228,900,14.45086705202312138700
"Samsung Galaxy S4",6135,438,7.13936430317848410800
"Samsung Galaxy S4 Mini",6110,1104,18.06873977086743044200
"Global Comet Stacking Arm Chair",6084,699,11.48915187376725838300
"Global Ergonomic Managers Chair",6008,786,13.08255659121171771000
"Canon PC1080F Personal Copier",6000,1974,32.90000000000000000000
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment Black",5989,266,4.44147603940557689100
"Sanyo Counter Height Refrigerator with Crisper 3.6 Cubic Foot Stainless Steel/Black",5907,1653,27.98374809547993905500
"Hon 4070 Series Pagoda Round Back Stacking Chairs",5906,1053,17.82932610904165255700
"Global Leather Executive Chair",5862,701,11.95837598089389286900
"Zebra GX420t Direct Thermal/Thermal Transfer Printer",5787,510,8.81285640228097459800
"Iceberg Mobile Mega Data/Printer Cart ",5751,1387,24.11754477482177012700
"Safco Contoured Stacking Chairs",5697,871,15.28874846410391434100
"Canon PC940 Copier",5670,2092,36.89594356261022927700
"Logitech Z-906 Speaker sys - home theater - 5.1-CH",5610,2244,40.00000000000000000000
"Deluxe Rollaway Locking File with Drawer",5573,1380,24.76224654584604342400
"Atlantic Metals Mobile 5-Shelf Bookcases Custom Colors",5493,15,0.27307482250136537400
"Hon Olson Stacker Chairs",5428,1292,23.80250552689756816500
"Wilson SignalBoost 841262 DB PRO Amplifier Kit",5328,1044,19.59459459459459459500
"Hon Olson Stacker Stools",5294,833,15.73479410653570079300
"GE 30524EE4",5291,840,15.87601587601587601600
"Lifetime Advantage Folding Chairs 4/Carton",5211,971,18.63365956630205334900
"Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset",5120,2156,42.10937500000000000000
"Hoover Shoulder Vac Commercial Portable Vacuum",5010,715,14.27145708582834331300
"Panasonic KX-TG9471B",4978,1168,23.46323824829248694300
"Apple iPhone 5S",4902,513,10.46511627906976744200
"O'Sullivan 2-Door Barrister Bookcase in Odessa Pine",4887,567,11.60220994475138121500
"Brother DCP1000 Digital 3 in 1 Multifunction Machine",4860,1155,23.76543209876543209900
"Fellowes Staxonsteel Drawer Files",4831,509,10.53612088594493893600
"Smead Adjustable Mobile File Trolley with Lockable Top",4778,1106,23.14776056927584763500
"Global Executive Mid-Back Manager's Chair",4626,750,16.21271076523994811900
"DMI Arturo Collection Mission-style Design Wood Chair",4621,485,10.49556373079420039000
"Polycom CX600 IP Phone VoIP phone",4620,897,19.41558441558441558400
"Letter Size Cart",4599,1253,27.24505327245053272500
"Fellowes Strictly Business Drawer File Letter/Legal Size",4478,390,8.70924519874944171500
"Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators",4477,957,21.37592137592137592100
"Nortel Meridian M3904 Professional Digital phone",4435,935,21.08229988726042841000
"Global Commerce Series Low-Back Swivel/Tilt Chairs",4420,41,0.92760180995475113100
"Sharp 1540cs Digital Laser Copier",4400,1650,37.50000000000000000000
"Logitech G19 Programmable Gaming Keyboard",4390,731,16.65148063781321184500
"Hon Practical Foundations 30 x 60 Training Table Light Gray/Charcoal",4335,429,9.89619377162629757800
"Bevis 36 x 72 Conference Tables",4331,447,10.32094204571692449800
"GBC DocuBind TL200 Manual Binding Machine",4323,1591,36.80314596345130696300
"Cisco 9971 IP Video Phone Charcoal",4268,467,10.94189315838800374900
"Motorola L703CM",4212,468,11.11111111111111111100
"GBC DocuBind 200 Manual Binding Machine",4210,1053,25.01187648456057007100
"Hewlett Packard 310 Color Digital Copier",4200,840,20.00000000000000000000
"Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms",4186,343,8.19397993311036789300
"Fellowes PB200 Plastic Comb Binding Machine",4182,694,16.59493065518890483000
"Cisco SPA301",4182,905,21.64036346245815399300
"Canon PC-428 Personal Copier",4120,1470,35.67961165048543689300
"Wireless Extenders zBoost YX545 SOHO Signal Booster",4045,733,18.12113720642768850400
"Fellowes Super Stor/Drawer Files",4006,472,11.78232651023464802800
"Samsung Galaxy S4 Active",4000,1040,26.00000000000000000000
"WD My Passport Ultra 2TB Portable External Hard Drive",3998,499,12.48124062031015507800
"Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier",3992,1996,50.00000000000000000000
"Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back",3990,426,10.67669172932330827100
"Polycom SoundStation2 EX Conference phone",3969,518,13.05114638447971781300
"Canon Image Class D660 Copier",3960,1692,42.72727272727272727300
"Global Airflow Leather Mesh Back Chair Black",3955,572,14.46270543615676359000
"Fellowes High-Stak Drawer Files",3947,419,10.61565746136306055200
"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base",3861,290,7.51100751100751100800
"Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room",3855,1504,39.01426718547341115400
"Polycom SoundPoint IP 450 VoIP phone",3840,162,4.21875000000000000000
"Google Nexus 5",3816,711,18.63207547169811320800
"Hon Non-Folding Utility Tables",3776,543,14.38029661016949152500
"Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black)",3744,21,0.56089743589743589700
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base 43w x 30d x 30-37h Black",3739,608,16.26103236159400909300
"Aastra 57i VoIP phone",3686,574,15.57243624525230602300
"Polycom VoiceStation 500 Conference phone",3658,337,9.21268452706396938200
"Situations Contoured Folding Chairs 4/Set",3641,235,6.45427080472397692900
"Toshiba IPT2010-SD IP Telephone",3614,427,11.81516325401217487500
"Bush Cubix Conference Tables Fully Assembled",3603,311,8.63169580904801554300
"Pyle PMP37LED",3591,577,16.06794764689501531600
"Global Adaptabilities Conference Tables",3540,354,10.00000000000000000000
"24 Capacity Maxi Data Binder Racks Pearl",3537,537,15.18235793044953350300
"Global Comet Stacking Armless Chair",3528,515,14.59750566893424036300
"Avanti 4.4 Cu. Ft. Refrigerator",3511,382,10.88009114212475078300
"Global Adaptabilites Bookcase Cherry/Storm Gray Finish",3448,207,6.00348027842227378200
"Geemarc AmpliPOWER60",3412,385,11.28370457209847596700
"Hewlett-Packard Desktjet 6988DT Refurbished Printer",3405,1668,48.98678414096916299600
"Bush Advantage Collection Round Conference Table",3401,210,6.17465451337841811200
"Fellowes Stor/Drawer Steel Plus Storage Drawers",3398,77,2.26603884638022366100
"Chromcraft Bull-Nose Wood Round Conference Table Top Wood Base",3355,100,2.98062593144560357700
"Dot Matrix Printer Tape Reel Labels White 5000/Box",3324,1518,45.66787003610108303200
"Bush Andora Bookcase Maple/Graphite Gray Finish",3318,136,4.09885473176612417100
"Ibico EB-19 Dual Function Manual Binding System",3236,1086,33.55995055624227441300
"Okidata C331dn Printer",3211,112,3.48800996574275926500
"Jabra SPEAK 410",3159,655,20.73440962329851218700
"Global Fabric Manager's Chair Dark Gray",3151,498,15.80450650587115201500
"Economy Rollaway Files",3137,695,22.15492508766337264900
"BlackBerry Q10",3099,546,17.61858664085188770600
"Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System",3060,1145,37.41830065359477124200
"Hoover WindTunnel Plus Canister Vacuum",3052,697,22.83748361730013106200
"Digium D40 VoIP phone",3044,572,18.79106438896189224700
"Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer",3040,1459,47.99342105263157894700
"Acco 7-Outlet Masterpiece Power Center Wihtout Fax/Phone Line Protection",3040,401,13.19078947368421052600
"Space Solutions HD Industrial Steel Shelving.",3036,23,0.75757575757575757600
"SAFCO PlanMaster Boards 60w x 37-1/2d White Melamine",2979,54,1.81268882175226586100
"Global Manager's Adjustable Task Chair Storm",2959,494,16.69482933423453869600
"GBC DocuBind P100 Manual Binding Machine",2954,488,16.51997291807718348000
"Aastra 6757i CT Wireless VoIP phone",2931,484,16.51313544865233708600
"ShoreTel ShorePhone IP 230 VoIP phone",2906,421,14.48726772195457673800
"Kensington 7 Outlet MasterPiece Power Center",2884,229,7.94036061026352288500
"Logitech Wireless Gaming Headset G930",2880,764,26.52777777777777777800
"Bose SoundLink Bluetooth Speaker",2865,967,33.75218150087260034900
"Electrix Architect's Clamp-On Swing Arm Lamp Black",2863,627,21.90010478519035976200
"Logitech Wireless Headset h800",2800,720,25.71428571428571428600
"Xerox 1915",2791,1262,45.21676818344679326400
"Electrix Halogen Magnifier Lamp",2760,315,11.41304347826086956500
"Maxell iVDR EX 500GB Cartridge",2756,1184,42.96081277213352685100
"VTech DS6151",2748,477,17.35807860262008733600
"Nortel Meridian M5316 Digital phone",2745,255,9.28961748633879781400
"Hon Mobius Operator's Chair",2706,499,18.44050258684405025900
"1.7 Cubic Foot Compact Cube Office Refrigerators",2706,578,21.35994087213599408700
"GE 48 Fluorescent Tube Cool White Energy Saver 34 Watts 30/Box",2697,1260,46.71857619577308120100
"Imation Bio 8GB USB Flash Drive Imation Corp",2659,399,15.00564121850319669000
"Global Highback Leather Tilter in Burgundy",2647,50,1.88893086513033623000
"Cisco 8x8 Inc. 6753i IP Business Phone System",2646,83,3.13681027966742252500
"Vtech CS6719",2631,418,15.88749524895477004900
"NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router",2624,722,27.51524390243902439000
"Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset",2620,996,38.01526717557251908400
"Fellowes Bankers Box Staxonsteel Drawer File/Stacking System",2613,153,5.85533869115958668200
"Motorola Droid Maxx",2610,342,13.10344827586206896600
"Stur-D-Stor Shelving Vertical 5-Shelf: 72H x 36W x 18 1/2D",2553,51,1.99764982373678025900
"Fellowes Powershred HS-440 4-Sheet High Security Shredder",2542,1092,42.95830055074744295800
"Plantronics Calisto P620-M USB Wireless Speakerphone System",2509,507,20.20725388601036269400
"Easy-staple paper",2503,1098,43.86735916899720335600
"Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center",2491,564,22.64150943396226415100
"Kensington 4 Outlet MasterPiece Compact Power Control Center",2490,382,15.34136546184738955800
"Rush Hierlooms Collection 1 Thick Stackable Bookcases",2488,410,16.47909967845659164000
"Wi-Ex zBoost YX540 Cellular Phone Signal Booster",2482,539,21.71635777598710717200
"Enermax Acrylux Wireless Keyboard",2450,630,25.71428571428571428600
"Panasonic KX MB2061 Multifunction Printer",2396,180,7.51252086811352253800
"Harbour Creations Steel Folding Chair",2391,337,14.09452112086992890000
"Logitech Gaming G510s - Keyboard",2363,676,28.60770207363520947900
"Logitech G700s Rechargeable Gaming Mouse",2340,890,38.03418803418803418800
"Fellowes Mobile File Cart Black",2300,485,21.08695652173913043500
"Bevis Round Conference Table Top & Single Column Base",2296,100,4.35540069686411149800
"Xiaomi Mi3",2280,593,26.00877192982456140400
"Tenex 46 x 60 Computer Anti-Static Chairmat Rectangular Shaped",2268,148,6.52557319223985890700
"GBC DocuBind P50 Personal Binding Machine",2267,569,25.09925011027790030900
"Plantronics S12 Corded Telephone Headset System",2242,755,33.67528991971454058900
"Plantronics HL10 Handset Lifter",2227,251,11.27076784912438257700
"Konftel 250 Conference phone - Charcoal black",2222,324,14.58145814581458145800
"Avanti 1.7 Cu. Ft. Refrigerator",2222,477,21.46714671467146714700
"Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms",2208,232,10.50724637681159420300
"Global Value Steno Chair Gray",2205,247,11.20181405895691610000
"3M Polarizing Task Lamp with Clamp Arm Light Gray",2192,570,26.00364963503649635000
"Global Push Button Manager's Chair Indigo",2186,284,12.99176578225068618500
"Jabra Supreme Plus Driver Edition Headset",2160,259,11.99074074074074074100
"Razer Kraken PRO Over Ear PC and Music Headset",2160,480,22.22222222222222222200
"Logitech G35 7.1-Channel Surround Sound Headset",2158,700,32.43744207599629286400
"Samsung Galaxy Note 3",2156,154,7.14285714285714285700
"Sauder Inglewood Library Bookcases",2155,311,14.43155452436194895600
"Mitel 5320 IP Phone VoIP phone",2116,211,9.97164461247637051000
"Imation Bio 2GB USB Flash Drive Imation Corp",2099,881,41.97236779418770843300
"Cisco SPA 502G IP Phone",2064,300,14.53488372093023255800
"HTC One Mini",2042,317,15.52399608227228207600
"Jawbone JAMBOX Wireless Bluetooth Speaker",2022,871,43.07616221562809099900
"Jabra SPEAK 410 Multidevice Speakerphone",2019,9,0.44576523031203566100
"Ooma Telo VoIP Home Phone System",2017,315,15.61725334655428854700
"Logitech G602 Wireless Gaming Mouse",2000,517,25.85000000000000000000
"Adtran 1202752G1",1990,313,15.72864321608040201000
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting Black/Silver",1980,592,29.89898989898989899000
"Global Value Mid-Back Manager's Chair Gray",1979,197,9.95452248610409297600
"Harmony Air Purifier",1948,375,19.25051334702258726900
"Office Star Flex Back Scooter Chair with Aluminum Finish Frame",1948,414,21.25256673511293634500
"AT&T 1080 Corded phone",1944,144,7.40740740740740740700
"AT&T CL83451 4-Handset Telephone",1937,474,24.47083118224057821400
"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB",1928,410,21.26556016597510373400
"Logitech Mobile Speakerphone P710e - speaker phone",1917,241,12.57172665623369848700
"Plantronics Audio 995 Wireless Stereo Headset",1914,587,30.66875653082549634300
"Polycom SoundPoint Pro SE-225 Corded phone",1904,276,14.49579831932773109200
"NETGEAR N750 Dual Band Wi-Fi Gigabit Router",1890,623,32.96296296296296296300
"Multicolor Computer Printout Paper",1888,852,45.12711864406779661000
"Nortel Networks T7316 E Nt8 B27",1877,398,21.20404901438465636700
"Recycled Data-Pak for Archival Bound Computer Printouts 12-1/2 x 12-1/2 x 16",1857,415,22.34787291330102315600
"Office Star - Contemporary Task Swivel Chair",1842,155,8.41476655808903365900
"Padded Folding Chairs Black 4/Carton",1830,80,4.37158469945355191300
"LG G3",1803,413,22.90626733222407099300
"Logitech Wireless Performance Mouse MX for PC and Mac",1800,498,27.66666666666666666700
"Xerox 189",1782,746,41.86307519640852974200
"Belkin 5 Outlet SurgeMaster Power Centers",1774,207,11.66854565952649379900
"Bevis Steel Folding Chairs",1774,117,6.59526493799323562600
"GE 2-Jack Phone Line Splitter",1771,95,5.36420101637492941800
"Honeywell Quietcare HEPA Air Cleaner",1762,550,31.21452894438138479000
"Xerox 1941",1742,703,40.35591274397244546500
"AT&T TR1909W",1738,341,19.62025316455696202500
"Jabra BIZ 2300 Duo QD Duo Corded Headset",1727,129,7.46960046323103647900
"First Data FD10 PIN Pad",1722,17,0.98722415795586527300
"Xerox 1908",1713,799,46.64331582019848219500
"Sauder Facets Collection Locker/File Cabinet Sky Alder Finish",1707,223,13.06385471587580550700
"Kensington Orbit Wireless Mobile Trackball for PC and Mac",1704,358,21.00938967136150234700
"Xerox 1945",1698,756,44.52296819787985865700
"Kensington Expert Mouse Optical USB Trackball for PC or Mac",1691,358,21.17090479006505026600
"Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting",1686,245,14.53143534994068801900
"ClearOne Communications CHAT 70 OC Speaker Phone",1686,273,16.19217081850533807800
"Staple envelope",1684,750,44.53681710213776722100
"Polycom CX300 Desktop Phone USB VoIP phone",1680,60,3.57142857142857142900
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum Red",1674,147,8.78136200716845878100
"Panasonic KX TS3282W Corded phone",1666,176,10.56422569027611044400
"Enermax Aurora Lite Keyboard",1641,721,43.93662400975015234600
"Howard Miller 14-1/2 Diameter Chrome Round Wall Clock",1638,375,22.89377289377289377300
"Motorola Moto X",1632,143,8.76225490196078431400
"Plantronics Audio 478 Stereo USB Headset",1620,512,31.60493827160493827200
"Hunt PowerHouse Electric Pencil Sharpener Blue",1619,449,27.73316862260654725100
"Logitech G600 MMO Gaming Mouse",1616,541,33.47772277227722772300
"AT&T 841000 Phone",1615,166,10.27863777089783281700
"AT&T 1080 Phone",1590,271,17.04402515723270440300
"Iceberg Nesting Folding Chair 19w x 6d x 43h",1589,254,15.98489616110761485200
"Mophie Juice Pack Helium for iPhone",1584,201,12.68939393939393939400
"Deflect-o Glass Clear Studded Chair Mats",1579,318,20.13932868904369854300
"Microsoft Sculpt Comfort Mouse",1576,634,40.22842639593908629400
"GBC ProClick Punch Binding System",1574,562,35.70520965692503176600
"Xerox 1919",1567,728,46.45820038289725590300
"Cameo Buff Policy Envelopes",1555,632,40.64308681672025723500
"Luxo Adjustable Task Clamp Lamp",1546,362,23.41526520051746442400
"Avaya 5420 Digital phone",1539,323,20.98765432098765432100
"Eureka Sanitaire  Commercial Upright",1524,53,3.47769028871391076100
"Harbour Creations 67200 Series Stacking Chairs",1501,254,16.92205196535642904700
"Microsoft Natural Keyboard Elite",1497,21,1.40280561122244489000
"Sony Micro Vault Click 16 GB USB 2.0 Flash Drive",1490,254,17.04697986577181208100
"Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection",1473,310,21.04548540393754243000
"Bush Westfield Collection Bookcases Fully Assembled",1472,74,5.02717391304347826100
"Plantronics CS 50-USB - headset - Convertible Monaural",1470,179,12.17687074829931972800
"Mini 13-1/2 Capacity Data Binder Rack Pearl",1466,288,19.64529331514324693000
"Global Leather Task Chair Black",1449,62,4.27881297446514837800
"Nokia Lumia 1020",1440,144,10.00000000000000000000
"Leather Task Chair Black",1438,55,3.82475660639777468700
"Xerox 1893",1435,620,43.20557491289198606300
"Eldon Antistatic Chair Mats for Low to Medium Pile Carpets",1431,48,3.35429769392033543000
"Global Deluxe Office Fabric Chairs",1420,230,16.19718309859154929600
"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling",1410,535,37.94326241134751773000
"Logitech Wireless Marathon Mouse M705",1410,554,39.29078014184397163100
"Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning",1400,429,30.64285714285714285700
"Hewlett-Packard Deskjet 6540 Color Inkjet Printer",1396,140,10.02865329512893982800
"Avaya IP Phone 1140E VoIP phone",1395,363,26.02150537634408602200
"Cisco IP Phone 7961G VoIP phone - Dark gray",1387,228,16.43835616438356164400
"Samsung Rugby III",1385,230,16.60649819494584837500
"Holmes Replacement Filter for HEPA Air Cleaner Very Large Room HEPA Filter",1384,382,27.60115606936416185000
"Cisco SPA525G2 5-Line IP Phone",1380,649,47.02898550724637681200
"Ames Color-File Green Diamond Border X-ray Mailers",1361,559,41.07274063188831741400
"Airmail Envelopes",1360,514,37.79411764705882352900
"Plantronics Voyager Pro Legend",1359,173,12.72994849153789551100
"DYMO CardScan Personal V9 Business Card Scanner",1344,464,34.52380952380952381000
"Apple iPhone 5C",1340,230,17.16417910447761194000
"AT&T 17929 Lendline Telephone",1339,170,12.69604182225541448800
"Luxo Professional Combination Clamp-On Lamps",1331,346,25.99549211119459053300
"Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock",1326,203,15.30920060331825037700
"Xerox 1891",1322,543,41.07413010590015128600
"Tenex Traditional Chairmats for Medium Pile Carpet Standard Lip 36 x 48",1322,172,13.01059001512859304100
"Hon Metal Bookcases Putty",1321,362,27.40348221044663134000
"Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room",1320,417,31.59090909090909090900
"Avery Arch Ring Binders",1318,86,6.52503793626707132000
"Nokia Lumia 925",1310,285,21.75572519083969465600
"GBC Recycled Regency Composition Covers",1292,452,34.98452012383900928800
"Fellowes Recycled Storage Drawers",1288,48,3.72670807453416149100
"Star Micronics TSP800 TSP847IIU Receipt Printer",1287,360,27.97202797202797202800
"Panasonic KX TS208W Corded phone",1284,155,12.07165109034267912800
"White Computer Printout Paper by Universal",1279,548,42.84597341673182173600
"Luxo Professional Magnifying Clamp-On Fluorescent Lamps",1269,107,8.43183609141055949600
"Hon Deluxe Fabric Upholstered Stacking Chairs Squared Back",1269,73,5.75256107171000788000
"Tyvek Side-Opening Peel & Seel Expanding Envelopes",1266,569,44.94470774091627172200
"Panasonic KX T7736-B Digital phone",1260,134,10.63492063492063492100
"Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology",1248,378,30.28846153846153846200
"Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection",1244,74,5.94855305466237942100
"Hon Valutask Swivel Chairs",1243,139,11.18262268704746580900
"SAFCO Mobile Desk Side File Wire Frame",1241,258,20.78968573730862207900
"Avery 4027 File Folder Labels for Dot Matrix Printers 5000 Labels per Box White",1233,525,42.57907542579075425800
"Hon 4060 Series Tables",1232,97,7.87337662337662337700
"Maxell 4.7GB DVD-R",1232,413,33.52272727272727272700
"Xerox 1888",1231,540,43.86677497969130788000
"Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with",1230,126,10.24390243902439024400
"Xerox 1917",1224,575,46.97712418300653594800
"Plantronics Voyager Pro HD - Bluetooth Headset",1222,377,30.85106382978723404300
"Satellite Sectional Post Binders",1219,332,27.23543888433141919600
"Wilson Jones Ledger-Size Piano-Hinge Binder 2 Blue",1218,215,17.65188834154351395700
"APC 7 Outlet Network SurgeArrest Surge Protector",1205,80,6.63900414937759336100
"Trav-L-File Heavy-Duty Shuttle II Black",1195,278,23.26359832635983263600
"Howard Miller 11-1/2 Diameter Ridgewood Wall Clock",1185,448,37.80590717299578059100
"SanDisk Cruzer 64 GB USB Flash Drive",1184,320,27.02702702702702702700
"GBC Therma-A-Bind 250T Electric Binding System",1180,414,35.08474576271186440700
"Boston Heavy-Duty Trimline Electric Pencil Sharpeners",1167,311,26.64952870608397600700
"GE 30522EE2",1160,336,28.96551724137931034500
"Logitech K350 2.4Ghz Wireless Keyboard",1155,47,4.06926406926406926400
"Logitech Illuminated - Keyboard",1140,515,45.17543859649122807000
"Panasonic KX-TG6844B Expandable Digital Cordless Telephone",1136,75,6.60211267605633802800
"File Shuttle II and Handi-File Black",1124,259,23.04270462633451957300
"ClearSounds CSC500 Amplified Spirit Phone Corded phone",1120,163,14.55357142857142857100
"HTC One",1120,126,11.25000000000000000000
"O'Sullivan 3-Shelf Heavy-Duty Bookcases",1118,148,13.23792486583184257600
"Advantus Rolling Drawer Organizers",1116,234,20.96774193548387096800
"Dana Halogen Swing-Arm Architect Lamp",1115,288,25.82959641255605381200
"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener Beige",1113,111,9.97304582210242587600
"netTALK DUO VoIP Telephone Service",1113,429,38.54447439353099730500
"Hypercom P1300 Pinpad",1109,274,24.70694319206492335400
"Ibico Laser Imprintable Binding System Covers",1103,138,12.51133272892112420700
"Xerox 1988",1102,405,36.75136116152450090700
"Ibico Plastic Spiral Binding Combs",1100,330,30.00000000000000000000
"Xerox 1906",1099,498,45.31392174704276615100
"Xerox 1934",1098,525,47.81420765027322404400
"Eaton Premium Continuous-Feed Paper 25% Cotton Letter Size White 1000 Shts/Box",1097,493,44.94074749316317228800
"Maxell LTO Ultrium - 800 GB",1087,157,14.44342226310947562100
"RCA Visys Integrated PBX 8-Line Router",1086,130,11.97053406998158379400
"GBC Prestige Therm-A-Bind Covers",1074,365,33.98510242085661080100
"Belkin 8 Outlet Surge Protector",1074,189,17.59776536312849162000
"Recycled Steel Personal File for Standard File Folders",1073,255,23.76514445479962721300
"Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener",1073,205,19.10531220876048462300
"AT&T 1070 Corded Phone",1070,134,12.52336448598130841100
"Sauder Camden County Barrister Bookcase Planked Cherry Finish",1064,24,2.25563909774436090200
