"show_id","type","title","director","listed_in","description","country","date_added","rating"
"s74","Movie","King of Boys","Kemi Adetiba","Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.","Nigeria","September 14, 2021","TV-MA"
"s79","Movie","Tughlaq Durbar","Delhiprasad Deenadayalan","Comedies, Dramas, International Movies","A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.",NULL,"September 11, 2021","TV-14"
"s80","Movie","Tughlaq Durbar (Telugu)","Delhiprasad Deenadayalan","Comedies, Dramas, International Movies","A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.",NULL,"September 11, 2021","TV-14"
"s85","Movie","Omo Ghetto: the Saga","JJC Skillz, Funke Akindele","Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.","Nigeria","September 10, 2021","TV-MA"
"s86","TV Show","Pokémon Master Journeys: The Series",NULL,"Anime Series, Kids' TV","As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",NULL,"September 10, 2021","TV-Y7"
"s88","TV Show","Titipo Titipo",NULL,"Kids' TV, Korean TV Shows","Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.",NULL,"September 10, 2021","TV-Y"
"s90","TV Show","Mighty Raju",NULL,"Kids' TV","Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",NULL,"September 9, 2021","TV-Y7"
"s94","Movie","JJ+E","Alexis Almström","Dramas, International Movies, Romantic Movies","Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",NULL,"September 8, 2021","TV-MA"
"s98","TV Show","Kid Cosmic",NULL,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy","A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.","United States","September 7, 2021","TV-Y7"
"s99","TV Show","Octonauts: Above & Beyond",NULL,"British TV Shows, Kids' TV","The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.","United Kingdom","September 7, 2021","TV-Y"
"s101","TV Show","Tobot Galaxy Detectives",NULL,"Kids' TV","An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.",NULL,"September 7, 2021","TV-Y7"
"s104","Movie","Shadow Parties","Yemi Amodu","Dramas, International Movies, Thrillers","A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.",NULL,"September 6, 2021","TV-MA"
"s105","TV Show","Tayo the Little Bus",NULL,"Kids' TV, Korean TV Shows","As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.","South Korea","September 6, 2021","TV-Y"
"s106","Movie","Angamaly Diaries","Lijo Jose Pellissery","Action & Adventure, Comedies, Dramas","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.","India","September 5, 2021","TV-14"
"s107","TV Show","Bunk'd",NULL,"Kids' TV, TV Comedies","The Ross siblings of Disney's hit series Jessie spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.","United States","September 5, 2021","TV-G"
"s108","Movie","A Champion Heart","David de Vos","Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.","United States","September 4, 2021","G"
"s109","TV Show","Dive Club",NULL,"Kids' TV, TV Dramas, Teen TV Shows","On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.","Australia","September 3, 2021","TV-G"
"s112","TV Show","Sharkdog",NULL,"Kids' TV","Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.","United States, Singapore","September 3, 2021","TV-Y"
"s113","Movie","Worth","Sara Colangelo","Dramas","In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",NULL,"September 3, 2021","PG-13"
"s115","Movie","Anjaam","Rahul Rawail","Dramas, International Movies, Thrillers","A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.","India","September 2, 2021","TV-14"
"s116","Movie","Bright Star","Jane Campion","Dramas, Romantic Movies","This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.","United Kingdom, Australia, France","September 2, 2021","PG"
"s117","Movie","Dhanak","Nagesh Kukunoor","Comedies, Dramas, Independent Movies","A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.","India","September 2, 2021","TV-PG"
"s119","Movie","Gurgaon","Shanker Raman","Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.","India","September 2, 2021","TV-14"
"s120","Movie","Here and There","JP Habac","Dramas, International Movies, Romantic Movies","After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.",NULL,"September 2, 2021","TV-MA"
"s121","TV Show","Heroes of Goo Jit Zu",NULL,"Kids' TV, TV Comedies","After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.","Australia","September 2, 2021","TV-Y7"
"s124","TV Show","Luv Kushh",NULL,"Kids' TV","Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.",NULL,"September 2, 2021","TV-Y7"
"s125","TV Show","Pororo - The Little Penguin",NULL,"Kids' TV, Korean TV Shows","On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.","South Korea","September 2, 2021","TV-Y7"
"s127","Movie","Shikara","Vidhu Vinod Chopra","Dramas, International Movies, Romantic Movies","A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.","India","September 2, 2021","TV-14"
"s129","Movie","Agatha Christie's Crooked House","Gilles Paquet-Brenner","Dramas, International Movies, Thrillers","When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.",NULL,"September 1, 2021","PG-13"
"s130","Movie","An Unfinished Life","Lasse Hallström","Dramas","A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.","Germany, United States","September 1, 2021","PG-13"
"s135","Movie","Clear and Present Danger","Phillip Noyce","Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.","United States, Mexico","September 1, 2021","PG-13"
"s137","Movie","Cold Mountain","Anthony Minghella","Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.","United States, Italy, Romania, United Kingdom","September 1, 2021","R"
"s139","Movie","Dear John","Lasse Hallström","Dramas, Romantic Movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.","United States","September 1, 2021","PG-13"
"s140","Movie","Do the Right Thing","Spike Lee","Classic Movies, Comedies, Dramas","On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.","United States","September 1, 2021","R"
"s141","Movie","El patrón, radiografía de un crimen","Sebastián Schindel","Dramas, International Movies, Thrillers","A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.","Argentina, Venezuela","September 1, 2021","TV-MA"
"s143","Movie","Freedom Writers","Richard LaGravenese","Dramas","While her at-risk students are reading classics such as The Diary of Anne Frank, a teacher asks them to keep journals about their troubled lives.","Germany, United States","September 1, 2021","PG-13"
"s154","TV Show","Kid-E-Cats",NULL,"Kids' TV","Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning.","Russia","September 1, 2021","TV-Y"
"s157","Movie","Letters to Juliet","Gary Winick","Comedies, Dramas, Romantic Movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.","United States","September 1, 2021","PG"
"s160","Movie","Love in a Puff","Pang Ho-cheung","Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.","Hong Kong","September 1, 2021","TV-MA"
"s163","Movie","Marshall","Reginald Hudlin","Dramas","This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.","United States, China, Hong Kong","September 1, 2021","PG-13"
"s167","Movie","Once Upon a Time in America","Sergio Leone","Classic Movies, Dramas","Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.","Italy, United States","September 1, 2021","R"
"s170","Movie","Poseidon","Wolfgang Petersen","Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.","United States","September 1, 2021","PG-13"
"s172","Movie","Same Kind of Different as Me","Michael Carney","Dramas, Faith & Spirituality","A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.","United States","September 1, 2021","PG-13"
"s175","Movie","Tears of the Sun","Antoine Fuqua","Action & Adventure, Dramas","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.","United States","September 1, 2021","R"
"s176","Movie","The Blue Lagoon","Randal Kleiser","Dramas, Romantic Movies","Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.","United States","September 1, 2021","R"
"s190","TV Show","Bread Barbershop",NULL,"Kids' TV, TV Comedies","In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",NULL,"August 28, 2021","TV-Y"
"s191","Movie","Thimmarusu","Sharan Koppisetty","Dramas, International Movies","Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.","India","August 28, 2021","TV-14"
"s192","Movie","Wind River","Taylor Sheridan","Dramas, Independent Movies","A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.","United Kingdom, Canada, United States","August 28, 2021","R"
"s196","Movie","EMI: Liya Hai To Chukana Padega","Saurabh Kabra","Comedies, Dramas, International Movies","A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.","India","August 27, 2021","TV-14"
"s198","TV Show","I Heart Arlo",NULL,"Kids' TV, TV Comedies","It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.",NULL,"August 27, 2021","TV-Y7"
"s200","Movie","Koi Aap Sa","Partho Mitra","Comedies, Dramas, International Movies","Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her.","India","August 27, 2021","TV-14"
"s202","Movie","Kucch To Hai","Anil V. Kumar, Anurag Basu","Dramas, International Movies, Thrillers","A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.","India","August 27, 2021","TV-14"
"s207","Movie","LSD: Love, Sex Aur Dhokha","Dibakar Banerjee","Dramas, Independent Movies, International Movies","This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.","India","August 27, 2021","TV-MA"
"s209","Movie","Once Upon a Time in Mumbaai","Milan Luthria","Dramas, International Movies, Music & Musicals","Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime.","India","August 27, 2021","TV-14"
"s210","Movie","Once Upon a Time in Mumbai Dobaara!","Milan Luthria","Dramas, International Movies, Music & Musicals","This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control.","India","August 27, 2021","TV-14"
"s216","Movie","Shootout at Lokhandwala","Apoorva Lakhia","Action & Adventure, Dramas, International Movies","Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight.","India","August 27, 2021","TV-MA"
"s217","Movie","Shor In the City","Raj Nidimoru, Krishna D.K.","Comedies, Dramas, Independent Movies","When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger.","India","August 27, 2021","TV-14"
"s218","Movie","The Dirty Picture","Milan Luthria","Comedies, Dramas, International Movies","After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.","India","August 27, 2021","TV-14"
"s221","TV Show","Family Reunion",NULL,"Kids' TV, TV Comedies","When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.","United States","August 26, 2021","TV-PG"
"s228","Movie","Really Love","Angel Kristi Williams","Dramas, Independent Movies, Romantic Movies","A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.","United States","August 25, 2021","TV-MA"
"s232","Movie","The Water Man","David Oyelowo","Children & Family Movies, Dramas","Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death.","United States","August 25, 2021","PG"
"s235","TV Show","Oggy Oggy",NULL,"Kids' TV, TV Comedies","Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!",NULL,"August 24, 2021","TV-Y"
"s264","TV Show","Mother Goose Club",NULL,"Kids' TV","Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.","United States","August 16, 2021","TV-Y"
"s245","Movie","Gunshot","Karim El Shenawy","Dramas, International Movies, Thrillers","After a clash at a protest ends in bloodshed, a forensic doctor and a journalist embark on a search for the elusive truth.",NULL,"August 20, 2021","TV-14"
"s247","Movie","Man in Love","Yin Chen-hao","Dramas, International Movies, Romantic Movies","When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love.",NULL,"August 20, 2021","TV-MA"
"s248","Movie","Sweet Girl","Brian Andrew Mendoza","Action & Adventure, Dramas","He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now.","United States","August 20, 2021","R"
"s251","Movie","A Faraway Land","Veronica Velasco","Dramas, International Movies, Romantic Movies","In the Faroe Islands, a married woman meets a reporter filming a documentary on overseas Filipino workers, which soon sparks a complicated love story.",NULL,"August 19, 2021","TV-PG"
"s252","Movie","Like Crazy","Drake Doremus","Dramas, Independent Movies, Romantic Movies","A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.","United States","August 19, 2021","PG-13"
"s254","Movie","Bombay","Mani Ratnam","Dramas, International Movies, Romantic Movies","Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city.","India","August 18, 2021","TV-14"
"s255","TV Show","Go! Go! Cory Carson",NULL,"Kids' TV","Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills.","United States","August 18, 2021","TV-Y"
"s257","Movie","Nneka The Pretty Serpent","Tosin Igho","Dramas, International Movies","Years after the mysterious murder of her parents, a traumatized woman gains supernatural powers that aid in her quest for revenge against the killers.",NULL,"August 18, 2021","TV-14"
"s258","Movie","O Kadhal Kanmani","Mani Ratnam","Dramas, International Movies, Romantic Movies","It's love at first sight for a young couple repelled by the concept of marriage, but their view shifts when they meet their older-couple neighbors.",NULL,"August 18, 2021","TV-14"
"s259","Movie","Out of my league","Alice Filippi","Comedies, Dramas, International Movies","Tired of swiping through the dating scene with her besties in tow, a charming yet awkward woman with a rare genetic disorder sets her sights on love.",NULL,"August 18, 2021","TV-MA"
"s260","Movie","Pahuna","Paakhi Tyrewala","Comedies, Dramas, International Movies","Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India.","India, Nepal","August 18, 2021","TV-PG"
"s268","Movie","The Piano","Jane Campion","Classic Movies, Dramas, Independent Movies","With her daughter and her beloved piano in tow, a mute Scottish woman arrives in New Zealand, where a gruff loner sets out to seduce her.","New Zealand, Australia, France, United States","August 15, 2021","R"
"s269","Movie","Unroyal","Moses Inwang","Dramas, International Movies","When a rude and arrogant princess finds herself relying on a gatekeeper after a terrible accident, it may be enough to make her change her ways.",NULL,"August 15, 2021","TV-MA"
"s270","TV Show","Winx Club",NULL,"Kids' TV","In this animated fantasy, a girl named Bloom befriends a band of fairies, then follows them into the secretive and dangerous Magical Dimension.","Italy","August 15, 2021","TV-Y7"
"s273","TV Show","Fast & Furious Spy Racers",NULL,"Kids' TV","A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.","United States","August 13, 2021","TV-Y7"
"s283","Movie","La diosa del asfalto","Julián Hernández","Dramas, Independent Movies, International Movies","A woman from a tough neighborhood outside Mexico City comes home a rock star, inadvertently provoking a confrontation with the ghosts of her past.","Mexico","August 11, 2021","TV-MA"
"s286","Movie","The Railway Man","Jonathan Teplitzky","Dramas, International Movies","Decades after World War II, a still-shattered soldier unexpectedly falls in love and sees a bizarre coincidence bring his past back into focus.","Switzerland, United Kingdom, Australia","August 11, 2021","R"
"s287","TV Show","Gabby's Dollhouse",NULL,"Kids' TV","Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures.","United States","August 10, 2021","TV-Y"
"s293","Movie","Quartet","Dustin Hoffman","Comedies, Dramas, Independent Movies","To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing.","United Kingdom","August 8, 2021","PG-13"
"s299","Movie","Quam's Money","Kayode Kasum","Comedies, Dramas, International Movies","In this sequel to New Money, Quam, a security guard turned multimillionaire, lives the good life with his fortune until he falls victim to fraud.","Nigeria","August 6, 2021","TV-MA"
"s306","Movie","Tango Feroz","Marcelo Piñeyro","Classic Movies, Dramas, International Movies","One of the first rock stars in Argentina, Tango leads a full life during an era of social unrest – one of both glory and despair.","Argentina, Spain","August 5, 2021","TV-MA"
"s307","Movie","'76","Izu Ojukwu","Dramas, International Movies","When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events.","Nigeria","August 4, 2021","TV-PG"
"s315","Movie","Heavy","James Mangold","Dramas, Independent Movies, Romantic Movies","Overweight Victor hides from the world making pizzas in his mother's gloomy dive until a new waitress blows in and disrupts his isolation.","United States","August 3, 2021","R"
"s316","Movie","Ije: The Journey","Chineze Anyaene","Dramas, International Movies","When her sister is accused of multiple murders, a Nigerian woman travels to Los Angeles to uncover the truth and fight for her sibling’s freedom.","United States, Nigeria","August 3, 2021","TV-MA"
"s325","TV Show","44 Cats",NULL,"Kids' TV","Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.","Italy","August 1, 2021","TV-Y7"
"s330","Movie","Catch Me If You Can","Steven Spielberg","Dramas","An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.","United States, Canada","August 1, 2021","PG-13"
"s335","Movie","Five Feet Apart","Justin Baldoni","Dramas, Romantic Movies","A teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient.","United States","August 1, 2021","PG-13"
"s336","Movie","Freedomland","Joe Roth","Dramas, Thrillers","When a woman reports that her infant son was kidnapped by a black man, an African American detective and a white activist team up to dig for details.","United States","August 1, 2021","R"
"s340","Movie","I missed you: Director's Cut","Mag Hsu, Hsu Chih-yen","Dramas, Independent Movies, International Movies","A workaholic reconnects with two men she blocked on social media five years ago and begins to reflect on her past life choices.",NULL,"August 1, 2021","TV-14"
"s342","Movie","Magnolia","Paul Thomas Anderson","Dramas, Independent Movies","Through chance, history and divine intervention, a cast of eclectic characters weaves and warps through each other's lives on a random day in California.","United States","August 1, 2021","R"
"s344","Movie","My Girl","Howard Zieff","Dramas","This coming-of-age charmer follows a summer in the life of an 11-year-old girl who learns about love and loss as she grapples with profound changes.","United States","August 1, 2021","PG-13"
"s345","Movie","My Girl 2","Howard Zieff","Children & Family Movies, Comedies, Dramas","A teen makes surprising discoveries when she talks to her dead mother's high school friends for an essay about someone she admires but has never met.","United States","August 1, 2021","PG"
"s350","Movie","Seabiscuit","Gary Ross","Dramas, Sports Movies","An ungainly-looking colt becomes a winning thoroughbred in this Depression-era drama based on the true story of champion racehorse Seabiscuit.","United States","August 1, 2021","PG-13"
"s351","Movie","Space Cowboys","Clint Eastwood","Action & Adventure, Dramas, Sci-Fi & Fantasy","A retired engineer agrees to help NASA prevent a Russian satellite from falling to Earth if he and his over-the-hill pals can man the mission.","United States","August 1, 2021","PG-13"
"s353","Movie","The Edge of Seventeen","Kelly Fremon Craig","Comedies, Dramas","A troubled teenager finds high school life even less bearable after she catches her childhood best friend hooking up with her popular older brother.","United States, China","August 1, 2021","R"
"s356","Movie","The Lincoln Lawyer","Brad Furman","Dramas, Thrillers","A street-wise defense lawyer who operates out of the back seat of his Lincoln lands a high-profile case that soon puts him and his family in danger.","United States","August 1, 2021","R"
"s358","Movie","The Machinist","Brad Anderson","Dramas, Independent Movies, Thrillers","Haunted and gaunt after a prolonged bout of insomnia, factory worker Trevor Reznik begins to question his sanity amid a series of mysterious events.","Spain, France, United Kingdom, United States","August 1, 2021","R"
"s363","Movie","The Lost Café","Kenneth Gyang","Dramas, International Movies","An aspiring filmmaker grapples with her decision to study abroad in Norway when she meets an insightful but peculiar owner of a curious coffee shop.",NULL,"July 31, 2021","TV-14"
"s365","TV Show","Centaurworld",NULL,"Kids' TV, TV Comedies","On a quest to reunite with her trusty rider, a fearless war horse journeys through a whimsical world filled with magic, adventure and singing centaurs.",NULL,"July 30, 2021","TV-Y7"
"s366","Movie","Eyes of a Thief","Najwa Najjar","Dramas, Independent Movies, International Movies","After a decade in prison, a Palestinian man with a dark secret returns to the West Bank and searches for the daughter he lost long ago.",", France, Algeria","July 30, 2021","TV-14"
"s372","Movie","Pomegranates and Myrrh","Najwa Najjar","Dramas, Independent Movies, International Movies","After her husband is placed under Israeli detention, a Palestinian newlywed is left to deal with the fallout, resorting to her passion for Dabke to cope.",NULL,"July 30, 2021","TV-14"
"s523","TV Show","Larva",NULL,"Kids' TV, Korean TV Shows, TV Comedies","Two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world.","Russia","July 6, 2021","TV-Y7"
"s387","TV Show","Mighty Express",NULL,"Kids' TV","Catch a ride with the Mighty Express — a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!","United States, Canada","July 27, 2021","TV-Y"
"s388","Movie","Mimi","Laxman Utekar","Comedies, Dramas, International Movies","An aspiring actress in a small town agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes unexpected turns.",NULL,"July 27, 2021","TV-14"
"s390","Movie","The Operative","Yuval Adler","Dramas, International Movies, Thrillers","Working as a Mossad spy assigned to Tehran, Rachel reaches her breaking point. Now it’s dangerously hard to tell whose side she’s on.","France, Israel, Germany, United States, United Kingdom","July 27, 2021","TV-MA"
"s393","Movie","Django Unchained","Quentin Tarantino","Action & Adventure, Dramas","Accompanied by a German bounty hunter, a freed slave named Django travels across America to free his wife from a sadistic plantation owner.","United States","July 24, 2021","R"
"s395","Movie","African America","Muzi Mthembu","Dramas, Independent Movies, International Movies","A disgruntled South African woman leaves her fiancé and embezzles money from her job to pursue her dream of being a Broadway star in New York City.",NULL,"July 23, 2021","TV-MA"
"s403","Movie","The Last Letter From Your Lover","Augustine Frizzell","Dramas, Romantic Movies","After finding a trove of love letters from 1965, a reporter sets out to solve the mystery of a secret affair — while embarking on a romance of her own.","United Kingdom","July 23, 2021","TV-MA"
"s427","Movie","Cousins","Ainsley Gardiner, Briar Grace-Smith","Dramas","Separated as children, three cousins with an unshakeable bond confront their painful pasts and embark on an emotional journey to find each other.","New Zealand","July 22, 2021","TV-MA"
"s430","Movie","Sanitation Day","Seyi Babatope","Dramas, International Movies, Thrillers","Two cops must contend with the uncooperative tenants of an apartment complex as they try to solve a murder before the crime scene is wiped clean.","Nigeria","July 21, 2021","TV-14"
